image_id,optimal_block,best_score,original_h,original_w,adjusted_h,adjusted_w,size_change_h,size_change_w
352,8,1.5568,720,502,720,512,0,10
353,8,1.3385,650,447,656,448,6,1
354,8,1.3602,650,432,656,432,6,0
355,8,1.3596,649,441,656,448,7,7
356,16,1.4224,646,446,656,448,10,2
357,8,1.3651,653,446,656,448,3,2
358,16,1.5452,650,460,656,464,6,4
359,16,1.41,649,442,656,448,7,6
360,16,1.4065,647,441,656,448,9,7
361,16,1.3164,618,428,624,432,6,4
362,16,1.3641,649,435,656,448,7,13
363,16,1.3926,651,438,656,448,5,10
364,16,1.5513,651,456,656,464,5,8
365,16,1.4351,652,442,656,448,4,6
366,8,1.3719,648,450,656,464,8,14
367,8,1.6235,737,574,752,576,15,2
368,16,1550.0,483,386,496,400,13,14
369,8,64.0861,482,376,496,384,14,8
370,16,72.7273,487,386,496,400,9,14
371,8,1.9772,607,431,608,432,1,1
372,16,1.4913,588,430,592,432,4,2
373,16,1.52,595,426,608,432,13,6
374,8,1.3855,590,427,592,432,2,5
375,16,1.3559,592,406,592,416,0,10
376,16,1.3885,596,407,608,416,12,9
377,8,1.3258,594,394,608,400,14,6
38,16,1.4562,3510,2550,3520,2560,10,10
4,16,1.462,3510,2550,3520,2560,10,10
40,16,1.2872,3365,2398,3376,2400,11,2
47,16,1.2619,3510,2348,3520,2352,10,4
5,16,1.5197,3510,2405,3520,2416,10,11
53,16,1.6618,3510,2384,3520,2384,10,0
56,16,1.8812,3510,2550,3520,2560,10,10
71,16,1.7511,3510,2319,3520,2320,10,1
73,16,1.5674,3502,2319,3504,2320,2,1
81,16,1.5226,3387,2470,3392,2480,5,10
82,16,1.7607,3510,2326,3520,2336,10,10
90,16,1.5353,3380,2405,3392,2416,12,11
98,16,1.6025,3510,2550,3520,2560,10,10
